#Digilent WaveForms Logger,,,,
#Device Name: Discovery2,,,,
#Serial Number: SN:210321B27883,,,,
#Date Time: 2023-11-08 12:42:10.124,,,,
,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),
0,-0.085687266,0.085793649,0.004271143,
0.1,-0.085328921,0.085437916,0.00431424,
0.2,-0.085441326,0.085550301,0.004316703,
0.3,-0.085464256,0.085573062,0.004313924,
0.4,-0.085790228,0.085900902,0.004359084,
0.5,-0.085484489,0.085595292,0.004353865,
0.6,-0.085571714,0.085682639,0.004358473,
0.7,-0.085855872,0.085966454,0.004358947,
0.8,-0.085708848,0.085820908,0.00438425,
0.9,-0.085803717,0.085912658,0.004325162,
1,-0.085696708,0.085804402,0.004297635,
1.1,-0.085795174,0.085895121,0.004142446,
1.2,-0.085805066,0.085900872,0.004055919,
1.3,-0.08582305,0.085916945,0.00401566,
1.4,-0.086220062,0.086318312,0.004117267,
1.5,-0.085743019,0.085848688,0.004258167,
1.6,-0.08597592,0.086085312,0.004338449,
1.7,-0.085707499,0.085816748,0.004328836,
1.8,-0.085913423,0.08602132,0.004307117,
1.9,-0.085761902,0.08587122,0.004331578,
2,-0.085680971,0.085792863,0.004380232,
2.1,-0.086335164,0.086446013,0.004376378,
2.2,-0.086270419,0.086379011,0.004329931,
2.3,-0.085543389,0.085653056,0.004332975,
2.4,-0.085290254,0.085398601,0.004300422,
2.5,-0.085792027,0.085897948,0.004264453,
2.6,-0.085609932,0.085710401,0.004148787,
2.7,-0.085004747,0.085103813,0.004105117,
2.8,-0.085105462,0.085203908,0.004094669,
2.9,-0.085292053,0.085395882,0.004209801,
3,-0.085234502,0.085339934,0.004240771,
3.1,-0.08569491,0.085802939,0.00430429,
3.2,-0.086149922,0.086257732,0.004311291,
3.3,-0.086388669,0.086492711,0.004241114,
3.4,-0.08682075,0.086927361,0.004303882,
3.5,-0.0874084,0.087514203,0.004302025,
3.6,-0.088119244,0.088223793,0.004293774,
3.7,-0.087867009,0.087972923,0.004315532,
3.8,-0.088495124,0.08859914,0.004291923,
3.9,-0.088670475,0.088774635,0.00429915,
4,-0.089620066,0.089720406,0.004242065,
4.1,-0.08941549,0.089512772,0.004172113,
4.2,-0.088960927,0.089052385,0.004034927,
4.3,-0.088700599,0.088793215,0.00405447,
4.4,-0.088479388,0.088575233,0.004119453,
4.5,-0.088518954,0.088620901,0.004249579,
4.6,-0.089246884,0.089349718,0.004285536,
4.7,-0.089713586,0.089813878,0.004243255,
4.8,-0.093812744,0.09393388,0.004768944,
4.9,-0.098855648,0.098964287,0.004635834,
5,-0.104219579,0.104333674,0.004877987,
5.1,-0.098752237,0.098904781,0.005491032,
5.2,-0.094078018,0.09424377,0.005587014,
5.3,-0.070090502,0.07066133,0.008963542,
5.4,-0.053582365,0.053716662,0.003796051,
5.5,-0.052285669,0.05242611,0.003834813,
5.6,-0.056515216,0.056616193,0.003379887,
5.7,-0.054884456,0.055072495,0.004547117,
5.8,-0.072391192,0.073114637,0.010259895,
5.9,-0.088090918,0.088200151,0.004388254,
6,-0.087884544,0.087993978,0.004387143,
6.1,-0.083623974,0.083760927,0.00478789,
6.2,-0.077392732,0.077515458,0.004360199,
6.3,-0.081885754,0.082008596,0.004486989,
6.4,-0.085807763,0.085918263,0.004356101,
6.5,-0.086848627,0.086959306,0.004385999,
6.6,-0.086532996,0.086642095,0.004346651,
6.7,-0.086687214,0.086795178,0.004327794,
6.8,-0.086555027,0.086663034,0.004325359,
6.9,-0.086150372,0.086259022,0.004328085,
7,-0.085752011,0.085855881,0.004221963,
7.1,-0.085602288,0.085701642,0.004125485,
7.2,-0.08560094,0.085703273,0.004186901,
